,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Dividend and Interest Income, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment","Other Irregular Income/Loss, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Prepayments and Deposits,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Provisions,Change in Other Current Liabilities,Change in Deferred Assets/Liabilities,Change in Other Operating Capital,"Interest Paid, CFO Indirect","Interest Received, CFO Indirect","Taxes Refund/Paid, Indirect",Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,"Purchase/Sale of Other Non-Current Assets, Net",Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Payments for Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Cash Dividends and Interest Paid,Cash Dividends Paid,Common Stock Dividends Paid,Cash Dividends Paid to Non-Controlling/Minority Interests,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Other Changes,Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
Other Financing,0.013282649422979137,-0.005306401722742901,0.01612719868816204,0.009215073763614171,-0.03407276164568067,-0.057960536990681696,-0.05628833188467018,0.051634099567154174,0.04354261411469696,-0.037449673210459854,-0.0329208151486075,0.049778559407223893,0.03568348517329258,0.057565152458748756,0.0022921191749348466,-0.03204684925565194,-0.02346692554894727,0.047034677339793406,0.006038080548754661,0.07060166222665464,0.002691751070683629,0.10968114147369157,0.05065884276896234,0.11550599821412064,0.0442307295490716,0.13441213728761695,0.009120650803285817,0.032517892337152056,0.04486362349497392,-0.0016677474918467047,0.2075403790068224,-0.010925168337046938,0.04427062184071196,0.024893525222389662,0.05533309391500198,-0.0021426120423704248,0.12522843439898448,0.06653210919412961,0.06078776282750469,0.05082857028453067,0.09531451630130587,-0.03144900609079593,-0.0481658698969218,-0.04352691191696294,0.006825336891774272,0.002697181602745018,0.0018225440432294649,0.06883073192374023,-0.023350653637183142,0.0789353043069448,0.06327499909180971,0.2012327090630189,0.19736950644819784,0.013594275797136733,0.009270383517093838,0.08721464793760089,0.060378067868222994,0.1377095228427854,0.09135927744574042,0.12064375131646148,0.08902110814086435,0.09645127613847689,0.08859086411310749,0.08059679853036088,0.036132003373507866,0.012130182380219635,0.6684526762054719,0.08674554631852177,0.001711512122908482,-0.00048172481602271316,0.09048224307964986,0.09259677536549915,0.10564713983668057,-0.0016032018208494668
Cash Flow from Financing,0.20847003817664353,0.10713271949791547,0.1308715524228922,0.04167288470715279,0.022257953739767397,-0.0033276618454333128,0.004432926113311413,0.07261090174115552,0.07492919507573548,0.09760637078761802,0.017049784195115825,0.06925276738667754,0.1271874225367488,0.13418608881323937,0.03790264810262411,0.038824903387729606,0.038190810812691794,0.05891886259629345,0.02306173647643482,0.0595130312353691,0.038440017301341285,0.02344399429201135,0.039949972594732305,0.002477210855218977,0.06484875366339966,0.0986943782405063,0.049211169162694905,0.043465886755556626,0.10979568683141971,-0.0009269094734135513,0.026437015082384368,0.016533453591695342,0.1035100113647752,0.07152986631697228,0.05152812966750732,0.010704240169900436,0.20248989547520047,0.31623479596693027,0.2222200101925201,-0.013705049066509146,-0.003710592328767355,-0.01128299556338244,0.002694758177298893,0.007428525777629062,-7.287434038497206e-05,-0.0007247626922935904,0.10285855984631212,0.0700175990830517,0.031458986790100486,0.15849930357265296,0.02905921257706037,0.9518753592019359,0.5762696816851549,0.03047393474512917,0.035359565754746115,0.08716324969113087,0.08701823566253335,0.10096349693323074,0.12456843203281288,0.1754884646391212,0.12946592369286572,0.13393601471615174,0.0953029972492658,0.036857645318413616,0.05495456642907825,0.03431256166570025,0.5591071267841765,0.0305486923156478,0.04596746377187872,0.040130309630608714,0.014808715654411057,0.02968122667094365,0.14068514718768738,0.10872203730478072
Beginning Cash Position,0.024567628732182115,0.030940609085496798,0.09968992062786586,0.07085952262722563,0.06516834075521065,0.035328155328361796,0.03955304544962685,0.02830047596737678,0.020054530399678624,0.04468593829943378,0.04674504764511288,0.007425200773762859,-0.003872090443382846,-0.0005412876442148307,0.03620214208477445,0.048216221073327487,0.0459999314302338,0.001050838850793826,0.017427956695073705,0.008378133974675434,0.06941500596959975,0.06271176303264833,0.008475790732121763,0.03953791029143992,0.0046826948905623195,0.23794726621755913,0.07676206686650014,-0.008525669031282098,0.051194052805018556,0.030745348739275834,0.004137522360361147,0.06274417524649929,0.06821524766006298,0.030663341820903314,-0.008041065904994212,0.02846543051568233,0.15604996666017695,0.12146129439131088,0.040835261501710705,0.0798061632489449,0.11136675807513044,0.019969884032469378,0.019441672931344536,0.0135709078939233,0.03834827072272075,0.08276904668340049,0.0003639593853920417,0.019683572106918304,0.03276525997500835,0.11431480383324143,-0.013746194643603236,0.19289201319497631,0.14095649386858836,0.02162583795385388,0.04451104678189813,-0.008843038252081988,0.0006715000040448792,0.10571143770754349,0.020062346951478488,0.12902355982080535,0.026290751576386693,0.035972733801762594,0.13828468870206168,0.09837751488774155,-0.0013730256801594936,0.03875015760922412,0.07687858441487985,0.22921533690838397,0.09200172312522728,0.01793058170554338,0.23460913739686376,-0.011380452890794361,0.08445389917015503,0.12289959241019406
  Effect of Exchange Rate Changes,0.06320907923744883,0.05214073894088175,0.07723742186980306,0.023574348921601644,0.14644636755298518,0.16329294452545373,0.16566210883334706,0.06224256341593015,0.14877793835578298,0.09030655004466907,0.09016527989811816,0.008716218016392377,0.008078372456095587,-0.017869206695056532,0.03483095923042407,0.12369432748165775,0.10130039402862004,0.006786262514237081,0.0844023640826921,-0.02082815194237348,0.09427865462894873,0.013229679331993057,-0.021878616683409992,0.16820600124892415,0.08902226821795184,0.01861773806873781,0.08643050066856478,0.10866838438264112,0.09764152238442361,0.04008788891807804,0.014628009931310224,0.13546924505911467,0.03429180435653951,0.1055538278520427,-0.03253136214922217,0.0018470609487880943,0.09172020847571695,-0.03906825583584421,-0.02547389695433963,-0.032586995012656245,-0.019338990763649554,-0.01613013397038657,0.1844288070481947,0.18487664110073873,0.15175462034409806,0.15223688211670205,0.09698438988415214,0.05563904753567508,0.09724535936978353,-0.001983286215144983,0.029545892851552295,-0.005833006034960392,-0.007868578739126079,0.10246792841440312,0.10490780786216405,-0.020285649320556993,0.06849852047518258,-0.031108147918784294,0.1930876499171729,0.001332053799398501,0.14409571979641672,0.16218537299863559,-0.017215253387313126,-0.025032069289187952,-0.001066278570216069,0.01765802556243285,-0.018434118751424658,-0.020946105573649308,0.15204630121204293,0.9119889747440852,-0.009895499032542634,0.023946170410653788,0.003692471898571601,0.1272320546334906
Net Change in Cash,0.13470631012929926,0.15287560892806115,0.13664086192450217,0.09838290609219628,0.09781594350039076,0.008371468653776882,0.011528018113158218,0.11081648929629362,0.02718851003684595,0.1242470811142218,0.041592397020873924,0.05122288168378886,0.051753810653614334,0.02947550741361536,0.045308412675446025,0.10601897723815941,0.02089905961072688,0.028486966041508254,0.04084568278106442,0.04502777873785042,0.056613186581315623,0.12141032015662105,0.1312496022149506,0.18977639769064528,0.12815697763093414,0.30512659554634747,0.18912239680466406,0.18052801369808716,0.12815697763093414,0.08901342479326121,0.10332877572815512,0.10301163608596502,0.18393925444311743,0.0425773338760472,0.009559099357219438,0.07013366289701917,0.2021898447135057,0.1732490742122598,0.10342575373536933,0.16974390475350862,0.1932415460734666,0.024906952783338897,0.1125040957934256,0.042330333158533504,0.041276708341984186,0.05316598367355064,0.1280208067780293,0.08587398549530181,0.0428211673562641,0.12478524236953266,0.03129880757405247,0.2738683642950678,0.1836698560985011,0.08301776904794039,0.061240467343670106,0.04738056621052506,0.04925347557006219,0.1632801684217412,0.0510728351101597,0.23417314459051505,0.027593165761623985,0.02718093124429746,0.09546165187692232,0.08781250361890211,0.050196950704809104,0.052555028566822225,0.1058959135479319,0.3047115970419357,0.7364215090514769,0.14048044757433514,0.3079034528410749,0.10022593813994406,0.11370411677981751,0.3168991114980308
Ending Cash Position,0.050909885693871025,0.03220372053870461,0.052156110761710145,0.12340775657635082,0.11175769804567602,0.11153432822488851,0.1145552563055479,0.08591797238223149,0.02113923334049128,0.04949505653684966,0.05042230052747111,0.015352461125052863,0.05595915544579432,-0.011474444062835803,0.04903941293185872,0.1295900558569128,0.055210722461774525,-0.0011300522755160229,0.09272212201942882,0.014661604334261873,0.07555096551297491,0.055575740030178816,-0.005065184667151096,0.03539643736649775,0.053758665218790205,0.24910799264177047,0.07868012092764648,0.0267540522058623,0.05147698721412202,0.04747030155032976,1.674876274760078e-05,0.06204777899628279,0.05712372596215162,0.037486898547352814,-0.01003357703149809,0.032188724723993575,0.18635096492409006,0.12268345219327902,0.10758701758197305,0.09300398303953193,0.11915613859371589,0.02155110274434906,0.021792030786283174,0.025685119333805465,0.04686274425318627,0.07423852952977913,0.013971944294252147,0.028830501534518094,0.030401908051466656,0.11686435542557343,-0.004457377823553738,0.17662988453703946,0.14923118295906443,0.035582290543847844,0.03541340465669572,0.006881382296893373,0.00902145396895829,0.10693568496498698,0.026697536684773444,0.13559678903495245,0.028444815218768148,0.027701369484977114,0.14384203562369904,0.15646302885210905,0.0019677271579444378,0.03981948743672443,0.0839335150665545,0.22995189900339477,0.10994592172821989,0.01602506090164619,0.23486104050945825,0.0016044565151759073,0.08663390755872952,0.12169449290214046
Capital Expenditure,0.11561718109491177,0.0782257113359574,0.17075065158505168,0.08990052695095233,0.07395286373899033,0.05346010378145919,0.044802045107560605,0.09318727364317438,0.08108308173478845,0.04285836005356814,0.05199277389849683,0.06763545973760758,0.0504060215869773,0.050710866048928264,0.06857223727957099,0.069427311621378,0.05027483411038875,0.045605704468581774,0.06452242383631783,0.05789053754578329,0.07458030823808202,0.2259859613748106,0.12243865599267692,0.10134471316358866,0.09406184371698487,0.22786859615713928,0.19036617887982238,0.09998566927052285,0.0743579207398056,0.0814146837686825,0.10898899254447732,0.10416285264290731,0.18915273987672043,0.06720593245012768,0.043711249864939725,0.10603301664763538,0.10068140447428689,0.1897195475177856,0.09769701945995739,0.22354038376736535,0.2269278813209675,0.06694443268766193,0.05831108210705037,0.06293555263895073,0.07516451767228259,0.0628508036824637,0.06938504807205716,0.11715403291244453,0.07707823222912154,0.09455533216871462,0.09257109280398472,0.17815340400151705,0.07827594625853145,0.09360733755457212,0.1030712991371335,0.06928869560400103,0.08096106267811079,0.10656817963421172,0.04101579237351789,0.23792785281029707,0.08028549596339207,0.07563730127327965,0.12352059245227294,0.14504313384315948,0.09525392591370635,0.06357198931546335,0.12318828681570865,0.21968590092291315,0.1020962842806353,0.09079398742446841,0.218591046532899,0.07819273467987174,0.1054854308104789,0.07793437010781895
Free Cash Flow,0.13436151127907184,0.14016656855889967,0.1313367205370029,0.10416060040189538,0.03634157668508167,0.01514404544143321,0.020758508364172194,0.06226234030840148,0.09011375881810685,0.03883274061055678,0.041934490019937834,0.03822958695598695,0.04789338143698823,0.03879605719108969,0.07514534697389856,0.10573613112734165,0.03061845449264915,0.02661414166288454,0.05189941688319417,0.05538701471409408,0.06251883672814176,0.07673469841572263,0.0799270663244524,0.05336227115881647,0.04641663877679449,0.17538435307136802,0.03237928781089434,0.05532167110550185,0.05137581468829574,0.04243796532417496,0.08124167517785225,0.06065310211918557,0.06731837290858365,0.02595759404888521,0.008114866370131164,0.06053243024472352,0.17881334468775023,0.19631244236929724,0.17407899052629863,0.12777860615384926,0.126147194878854,0.015624428608685018,0.02416177984710687,0.03096314245804875,0.04505775700837243,0.04933965399754696,0.041758184847515305,0.07361647515346247,0.03997738128570893,0.11460078695626505,0.043757884023439345,0.3036970949350827,0.27299893849562035,0.07121660700931837,0.06531709080837354,0.05693773384860498,0.047194185234208874,0.16359173025827553,0.060565123103868614,0.21032502196793265,0.023395580458985453,0.022965661300599925,0.13323771019641134,0.11343130960118177,0.026524429844188704,0.07456570867947598,0.14507857435681784,0.26427141191738646,0.17248837595730504,0.04537857698677618,0.15450258959240762,0.030015931173708075,0.1282714022174779,0.14321792792245788
PE Ratio,-0.0014768723236200365,-0.007493734204692518,-0.009798010046920049,0.030562684668436115,-0.007074245802399506,-0.011003074565422297,-0.014971479801054935,-0.0007502236068423678,0.020416705578239262,-0.017272215927437967,-0.01893068570486391,-0.004155355605074404,-0.006482389739751774,-0.006565777982101149,-0.04469186065807646,-0.0031458455936164203,-0.005435381372126088,-0.008570156479135203,-0.07727205129140628,-0.005686932684857247,-0.03162192455752705,0.08203292646509294,0.03343654846859233,0.02888935200531537,0.00762166354635481,0.16424593839707502,0.02459869334468311,0.02274860026988855,0.001964769874353989,0.05016541267961474,0.15208358824693277,0.018821807596055815,0.04234329980824504,0.0008185088200547233,-0.03585129163635032,0.06791608358628892,0.1886107195731823,0.011151955693956717,0.015472794816555842,0.016025401922335477,0.0252259165588399,-0.014981009048225143,0.01625961487349878,0.031446937087492376,0.012110304176579585,0.0111898108703192,-0.02921375724879408,0.060157601464348925,-0.03672947883400336,-0.04789787184117818,-0.028948693306889033,0.04149132488872146,0.040665130092448584,0.12254757304788023,0.16027037457329157,0.018138150452506663,-0.054677456532826976,0.07764084124276897,0.039698821373583784,0.0671218047920904,0.0766956016716503,0.09822787773819149,0.054419120370982885,0.09131299424543124,-0.008615942327026121,0.10608856843168302,0.039563547939142525,0.031075547941197892,0.04494288864128949,-0.03681043219116548,0.03259461424153129,-0.000512011189568524,0.006292844511771223,0.03243634097748321
PE Ratio without NRI,0.020373071550213083,0.014122758437214045,0.016975120998291827,0.059727306674365925,-0.0007882496118724828,0.019982783810620134,0.014260988420232847,-0.0010280020951801444,0.036241001575396475,0.0061837291667186395,-0.001640110994727901,-0.006471735704383407,-0.008444385002669126,0.0012272963802339115,-0.037751994520148706,0.007981854365779405,0.007793782265087689,-0.0010105263810193162,-0.04494428286568331,-0.00633042954511755,-0.008222095427019127,0.10139416362055667,0.08718453214065608,0.08073162913546024,-0.007069612601239048,0.1751737799416005,0.053140420481284506,0.05326422572741682,-0.008564195087314179,0.0406932387953911,0.1829373996611553,0.021661669383053826,0.05904138462519724,0.02485739459764103,-0.03822557955333654,0.06757712551688287,0.18916905102845294,0.03534312605600388,0.04746599731672662,0.053586354707968485,0.043288954814825635,0.011505300265001597,0.04958126534633679,0.040436335035759594,0.013335227239324926,-0.004376322658173796,-0.023839932155774422,0.07599230152518752,-0.03333414823968944,-0.02227141639510845,-0.009039020554798157,0.0786779445053716,0.07528772727373767,0.1645059382633731,0.1625708873440597,0.055871463325103315,-0.041590860808244035,0.1220260513722191,0.04543027286443921,0.09617566165136889,0.10119963639046367,0.08775855899227067,0.09597252165550707,0.10337127145733907,-0.014912617315740506,0.1210346108624131,0.06774934468786405,0.07339757192834756,0.041477479939408445,-0.023245523906435847,0.06349910703968886,-0.0072072684640325764,-0.01449239087360944,0.062163364490535604
Price-to-Owner-Earnings,-0.0664032706452702,-0.06614928242190599,0.003021194022946109,-0.04438759739744434,0.05417243036720316,0.03101221261813752,0.04144133964362716,-0.006818387815390768,0.03677809082656809,0.09322881059306685,0.13086036539845433,-0.01725680706270453,0.012871372518455543,-0.03928606444243197,0.0475477992321721,0.1046345224624727,0.08573725035016075,0.0108185555685074,0.03914514231467659,-0.0045943028186495,0.11591111890004935,-0.06492191267332284,-0.08823963195562638,-0.05477494353252288,-0.011851575731156144,-0.052599222119067916,-0.013187147102509969,-0.014628097381702676,-0.017430977844232518,-0.0006794128168050922,-0.06347657658980196,0.08761782314564444,0.013611234919166222,0.11173650297583305,-0.02045493981908813,-0.04224525424474949,-0.012236616857220124,-0.056065540408947234,-0.06560065495937231,-0.013832989558938719,0.005911661119905415,0.04833184299647813,0.13358172601395554,0.09868809050252723,0.14722877762763703,0.15286070040033056,0.11944431408444338,0.04749938431365551,0.1350619191445402,-0.010258623762694052,0.038028112397561,-0.04854348079350717,-0.03544827161156323,0.0802017430819604,0.08852859284191925,-0.08478960002558121,0.04380492480630021,-0.05248624158083522,0.10204294538021427,-0.04967354117947399,0.08026936633996186,0.02533565097924852,-0.05855194402390298,-0.05164219207495964,-0.007400789389429595,-0.00579156724470721,-0.026416338668970824,-0.04601770752547504,-0.04374730433404423,0.02996178948845255,-0.04607101725491573,-0.004071440289795265,-0.004930799792026996,-0.03665076139127816
PB Ratio,-0.11000692814180284,-0.11329382572724672,-0.11133363471700902,-0.09929864746216605,-0.08955727031226075,-0.08497458696097084,-0.08447646505122025,0.05451189027499674,-0.08740094203443223,-0.09526203725826383,-0.09754144346098775,0.026092876824008182,0.026824509802079788,0.02397194753856208,0.03466957616371679,-0.0012148008686468509,0.002173225057240919,0.026548011035362064,0.04056054895441388,0.026204699455696555,-0.07854506263861577,-0.03766678755961064,-0.09871428338423804,-0.08246924491035859,0.04376786689958941,-0.016192721519937912,-0.09985324692212656,-0.09615494728410758,0.03383529946656284,0.06917390024494938,-0.05255316961263795,0.07650049282017606,-0.004517284073211333,-0.07279252548054645,-0.0007829578277691405,-0.10532253693733122,0.03522511621196651,-0.09374654617713107,-0.0943393577635919,-0.023562269176381167,-0.03059474674159063,-0.05337389760198488,-0.09128566113131469,-0.05300924625877922,0.06244733847666348,0.10515499731325822,-0.008482765728505157,-0.09177149085694132,-0.007041255273672216,-0.011195611285211468,0.027447497800253552,-0.05520702463541721,-0.05704034232966216,-0.07186424917193955,-0.042801038595470235,-0.09851761735189855,0.05191307947936134,-0.06117808843452331,0.09209106140252639,-0.06213371519197812,-0.09459363346523794,-0.09423674658936784,-0.08310626484588977,-0.08904160605038414,0.02767662685672425,0.017890412751677267,-0.028276568597355285,-0.03231873455762994,-0.11169050277222117,0.06041955613686229,-0.03834027113515936,0.030942612304958317,0.04762187784476289,-0.09854806511532138
Price-to-Tangible-Book,-0.07969900112679133,-0.10554007686349962,-0.06803083526040887,-0.06542432260571251,-0.06842187736385151,-0.06947233406799352,-0.06737610601605447,0.056390786752243266,-0.09142425924377276,-0.09667365391491524,-0.10816021250998488,0.030516754580858885,0.030493879058002292,0.02960930206396307,0.05778193974634351,-0.0009459219716161191,0.00022151792890419907,0.030560110314774812,0.04028152351216468,0.034743346124684965,-0.08433221630841505,-0.051800293699058565,-0.05813759983092763,-0.04223140515117881,0.0641887271465146,0.022101069439736457,-0.06915871288200141,-0.06293912455561318,0.05624452207417571,0.09633657581149419,-0.005769691630722932,0.12204480887794306,-0.009359961487050268,-0.059007438055085515,0.013567767486482953,-0.05566439162015005,-0.03083141806473284,-0.04732811648376379,-0.0888040904372679,-0.0301557852369836,0.013400079170031675,-0.0333800536509443,0.04746693764954522,0.07271382818645017,0.07516757512841908,0.08192343009988895,0.02289603459419811,-0.07451171010085958,0.011756001401298077,-0.010412625446953178,0.03852730910158034,-0.005737588736650848,-0.009970960558760027,-0.02934611424644023,-0.04448898036142747,-0.05618738040802401,0.057291977483966534,-0.030755758566404324,0.14589892847354188,-0.031639441550430365,-0.06545460252856522,-0.05380986239653973,-0.04076338010959137,-0.05251225789526602,0.040751496069126626,0.004247159917669058,-0.015319645433062128,-0.0017084142150582489,-0.06348719560765427,0.04181461703655651,-0.0018985889842858337,0.0447163040592907,0.05575200606849979,-0.06699204163227862
Price-to-Free-Cash-Flow,0.14042453815603495,0.028092053103502518,0.13315622225549997,0.06881604728207907,0.16302232895772498,0.061725670078123934,0.057033105406819905,0.021161887670917985,0.08169351092482866,0.1050511861673835,0.0603355752335164,-0.006232844736295828,0.03355485386624431,-0.020336979901470507,0.01593652390215225,0.160323510939742,0.11149497840933753,-0.015935839712129248,0.11003873426705674,-0.00022647021257604725,0.15936388524557824,-0.0712537685149803,-0.08699313018064732,-0.006980434612861159,0.046041113000108144,-0.013315943903465851,0.0249076770043142,0.06686346630303348,0.020043175256161064,-0.036123668763373765,0.006016577924878866,0.10243639067870633,0.014489300144683777,0.05566717487284825,-0.019831106255178237,-0.033850407014387254,0.17866192844156858,0.005552064594590031,-0.03606116601723738,-0.09289272346046465,-0.05213986216109746,-0.014568551735367141,0.05428500954927925,0.05292548563684729,0.12658850617521586,0.1302001008992985,0.06728181114466168,0.047841215650364345,0.08470391287689526,0.07753524156330466,-0.014558883801364872,0.03775650075552773,-0.002319541001952955,0.05851820494939992,0.04523209540485161,0.006717558097577167,0.08754371993382877,-0.048063144782697506,0.12083184816857609,-0.048995363625997046,0.09412576495603786,0.09872548945876755,-0.06066036304687174,-0.08406645816428157,-0.007907456831710083,0.008575413188609254,0.06589911448550764,-0.0027406894102806442,0.1531049400170579,0.06615576677977593,-0.10689817128766506,-0.029537328136380225,0.06933454055927882,0.13920544077824548
Price-to-Operating-Cash-Flow,0.16541572529135556,0.19075193036139051,0.16946250205759608,0.03831934533397336,0.1537043023840517,0.06728791165487336,0.07719811588825573,0.033124500496257904,0.07117755545659776,0.08399285585056006,0.0374509440675637,0.024094808155700368,0.06218609683982129,0.0195736522255247,0.03290350153767773,0.1742223002234697,0.10049925320742745,0.032061591815206535,0.03509209564016839,0.02701559769311809,0.0828197339865304,0.04010230716923627,-0.11231473459233081,-0.01970106323735411,0.07358696747483476,-0.00036720558361610055,0.07237651517682811,0.06817595186961739,0.07039021672271789,-0.047301467215758966,0.027251325216133732,0.06219653189355479,0.09300933494804454,0.04809914338474887,-0.030660401734255674,-0.07673519562286221,0.2400474712444088,-0.0005337768208256658,-0.012749485778709716,-0.08354522607583474,-0.061463644662500386,0.004344417758311453,0.06345422178069257,0.05826932436955384,0.1606539405564531,0.08179391572251589,0.11135752817011912,0.027272788847252222,0.08186184502569052,0.08560705298932961,0.010830728289220588,0.018511413013351654,0.02027618547311188,0.009310768359345464,0.004934074833684798,0.008732058257337558,0.033999056008656124,-0.05187498749804442,0.09140393616353147,-0.04936589510349364,0.07185129558651145,0.07294532988460062,-0.043593411931082446,-0.07736358291185035,0.023772502841360368,0.019978692327005526,0.051378205157034146,0.004792949793309932,0.15159398726194426,0.022554999102345045,-0.0053936103869685805,0.01615980898545787,0.09383601018638783,0.09941928701066341
PS Ratio,-0.12885817725254295,-0.13968190095691355,-0.13029385491845644,-0.0989891166754045,-0.10870516212770516,-0.10640588510770695,-0.10424124957853362,0.018318753801719337,-0.1085346469460556,-0.07030057369000803,-0.06821139743613228,-0.005647549347673718,-0.005142682530370945,-0.0056905653609244,-0.0002619571438905949,-0.011549849831203959,-0.008201992739554555,-0.005877961909585709,0.005690174132172153,-0.005647549347673718,-0.08193561510915678,-0.038205641697965545,-0.11262459373103537,-0.08511328912701124,0.012022008743468733,-0.02800157271558349,-0.11195264447245229,-0.10913892614290728,0.010114118910179744,0.018111855645308882,-0.06781112977618257,0.037459207709841714,0.0017033831309553969,-0.04120095203675987,0.002588919714852748,-0.06923189216273319,0.011955439560942978,-0.10491439314238128,-0.11067148554323525,-0.06549561117262372,-0.07321460592463568,-0.03516962826620132,-0.1176543353010294,-0.080604349660354,0.04228122196062876,0.08269512005566151,-0.019866953337517704,-0.09270619415837944,-0.0026119162578755787,0.019562168435900033,-0.021593544853389785,-0.060036475933854694,-0.07284630310867683,-0.08858214964743719,-0.04884857892986641,-0.10831373603271344,0.007846241316598453,-0.07574571554656506,0.06556486224278425,-0.06771487824637921,-0.07760347082612094,-0.04991744064555602,-0.07899477833509927,-0.05119305356126191,0.00965536542021055,0.005221244687823083,-0.0679578614735385,-0.06208503049745013,-0.1259440105748188,0.0350021444466985,-0.07267863673142468,0.012571741149761825,0.015574586870642487,-0.0933043879192173
PEG Ratio,-0.09554446250016871,-0.09769533242579187,-0.059858959198402374,-0.08700764405235656,-0.09294081127993373,-0.08384591875590877,-0.08348892343077892,0.024811258876637786,-0.08846341467867232,-0.09378842431792947,-0.09335323320525096,0.0007602001455595012,-0.00043140553624740764,0.0003221153357704261,-0.00393419311948519,-0.04763047174058702,-0.04110771845259861,0.0010388016905201894,0.019139255210095216,0.00346812666563277,-0.07321821288620955,0.0015958338245075452,-0.057655177226426026,-0.03675136523309466,0.02481909948533748,-0.06748949392902952,-0.09078997388948397,-0.09089276566261185,0.008162472350018584,-0.004126270341451717,-0.08885920763451821,0.021170097904649982,-0.023771295209454008,-0.06756217685046863,0.00537096321649802,-0.06235337991539578,-0.002851624338708293,-0.06587664673159488,-0.07675979717406156,-0.09773179558158036,-0.09310257934450372,-0.0348159134977974,-0.08901157848776486,-0.05405124565082619,0.0019983264547028833,0.021513079928073588,-0.11131014471631347,-0.08211417878560034,-0.09229446483396124,-0.009732159453737357,-0.015889798134975663,-0.04673303714392288,-0.053845389583261925,-0.06879068622202802,-0.03512769872219264,-0.10656002096249947,-0.08609230512955923,-0.07628430140569348,-0.01852281545167715,-0.04249427165167314,-0.08536934805787263,-0.05932255134794684,-0.05826763065037473,-0.034673539776891,-0.012070480230040152,-0.00460427286879166,-0.03791644849758205,-0.08698539225036017,-0.05736951867872215,-0.01504771516100754,-0.08387205393967634,0.0295394505324352,0.025400599534201908,-0.08521274128320454
